SourceName,CellNumber,CellSheetRadius,Density
2021-01-10-WellA1-t0h,15719,3251.214766,0.001411485
2021-01-10-WellA2-t0h,16539,3061.27285,0.001640627
2021-01-10-WellA3-t0h,10015,2520.827441,0.001433786
2021-01-10-WellA4-t0h,10653,2590.744866,0.001408788
2021-01-10-WellA1-t15h,19016,3982.644759,0.001120787
2021-01-10-WellA2-t15h,22553,3948.528998,0.00137298
2021-01-10-WellA3-t15h,16505,2929.598927,0.001745582
2021-01-10-WellA4-t15h,13132,2837.417687,0.001488076
2021-01-11-WellA1-t0h,13571,2906.735666,0.001486384
2021-01-11-WellA2-t0h,34946,3990.590594,0.002050897
2021-01-11-WellA3-t0h,11674,2629.364668,0.001531984
2021-01-11-WellA4-t0h,17745,3037.163935,0.001729844
2021-01-11-WellA1-t15h,27716,4261.496778,0.00140595
2021-01-11-WellA2-t15h,33792,4751.251851,0.001404664
2021-01-11-WellA3-t15h,21752,3161.262274,0.001994126
2021-01-11-WellA4-t15h,23700,3598.53216,0.001667471
2021-01-12-WellA1-t0h,22920,3414.341064,0.001844919
2021-01-12-WellA2-t0h,24847,3377.257969,0.002032656
2021-01-12-WellA3-t0h,10759,2401.465031,0.001588429
2021-01-12-WellA4-t0h,13697,2780.553743,0.001590474
2021-01-12-WellA1-t15h,39823,4731.043657,0.00164657
2021-01-12-WellA2-t15h,31477,4370.913185,0.001528823
2021-01-12-WellA3-t15h,24349,3389.888748,0.001919733
2021-01-12-WellA4-t15h,23808,3601.287644,0.001656947